step	dice_multi
0	0.4958043410644829
1	0.4958043410644829
2	0.8855242389512745
3	0.8590419703288401
4	0.8999911232164252
5	0.9140337956756845
6	0.9110616201801318
7	0.9193098565435571
8	0.918958228524782
